iter	Passed	Remaining
349	3199	7770
350	3208	7759
351	3217	7750
352	3225	7739
353	3233	7728
354	3241	7715
355	3255	7718
356	3266	7712
357	3275	7704
358	3285	7697
359	3293	7684
360	3300	7671
361	3308	7658
362	3316	7646
363	3323	7633
364	3332	7622
365	3339	7610
366	3347	7598
367	3355	7585
368	3363	7575
369	3374	7569
370	3383	7560
371	3392	7550
372	3402	7543
373	3413	7538
374	3421	7528
375	3429	7515
376	3437	7504
377	3446	7494
378	3452	7479
379	3462	7472
380	3469	7458
381	3478	7447
382	3485	7435
383	3492	7421
384	3512	7435
385	3522	7427
386	3529	7414
387	3536	7400
388	3542	7386
389	3549	7371
390	3556	7357
391	3565	7348
392	3572	7335
393	3579	7322
394	3586	7309
395	3595	7299
396	3605	7292
397	3617	7289
398	3626	7279
399	3632	7265
400	3639	7251
401	3646	7238
402	3650	7219
403	3654	7200
404	3658	7181
405	3665	7168
406	3671	7154
407	3681	7145
408	3688	7133
409	3695	7120
410	3702	7107
411	3709	7095
412	3723	7094
413	3737	7095
414	3745	7084
415	3754	7075
416	3771	7081
417	3779	7070
418	3787	7060
419	3795	7049
420	3804	7040
421	3811	7027
422	3820	7017
423	3828	7006
424	3838	6998
425	3847	6991
426	3856	6980
427	3863	6969
428	3870	6956
429	3881	6950
430	3890	6941
431	3906	6944
432	3916	6937
433	3925	6929
434	3940	6930
435	3950	6923
436	3958	6910
437	3967	6902
438	3975	6892
439	3983	6880
440	3993	6872
441	4002	6863
442	4012	6856
443	4021	6847
444	4031	6839
445	4040	6830
446	4048	6819
447	4056	6809
448	4064	6797
449	4071	6785
450	4080	6777
451	4093	6773
452	4103	6766
453	4111	6756
454	4119	6744
455	4126	6732
456	4134	6722
457	4141	6709
458	4148	6696
459	4157	6688
460	4165	6677
461	4172	6665
462	4180	6655
463	4189	6645
464	4196	6632
465	4203	6621
466	4211	6610
467	4218	6598
468	4226	6587
469	4235	6578
470	4243	6568
471	4250	6555
472	4265	6556
473	4272	6544
474	4280	6532
475	4288	6522
476	4295	6510
477	4302	6498
478	4309	6486
479	4316	6475
480	4323	6463
481	4330	6451
482	4337	6439
483	4346	6429
484	4352	6417
485	4360	6405
486	4366	6393
487	4374	6381
488	4380	6369
489	4388	6359
490	4396	6347
491	4403	6336
492	4412	6327
493	4419	6315
494	4425	6303
495	4435	6295
496	4447	6290
497	4455	6280
498	4464	6271
499	4473	6262
500	4480	6251
501	4487	6239
502	4494	6227
503	4500	6215
504	4509	6206
505	4517	6196
506	4526	6187
507	4537	6180
508	4546	6171
509	4554	6161
510	4561	6149
511	4567	6138
512	4574	6126
513	4581	6114
514	4589	6103
515	4596	6092
516	4602	6080
517	4610	6069
518	4616	6057
519	4622	6045
520	4629	6033
521	4636	6022
522	4643	6010
523	4683	6041
524	4691	6032
525	4700	6023
526	4708	6012
527	4715	6001
528	4722	5989
529	4728	5977
530	4735	5965
531	4741	5954
532	4748	5942
533	4755	5930
534	4761	5918
535	4768	5907
536	4775	5895
537	4781	5883
538	4788	5872
539	4794	5860
540	4807	5856
541	4814	5845
542	4821	5833
543	4828	5822
544	4835	5811
545	4842	5799
546	4850	5790
547	4856	5778
548	4863	5766
549	4870	5756
550	4877	5744
551	4883	5733
552	4894	5726
553	4901	5715
554	4909	5705
555	4916	5694
556	4922	5682
557	4929	5671
558	4936	5660
559	4942	5649
560	4949	5638
561	4960	5630
562	4969	5622
563	4987	5624
564	5002	5622
565	5015	5618
566	5031	5616
567	5042	5610
568	5049	5599
569	5056	5589
570	5063	5577
571	5071	5567
572	5078	5557
573	5085	5546
574	5092	5535
575	5099	5524
576	5106	5513
577	5113	5502
578	5120	5492
579	5127	5481
580	5134	5470
581	5142	5460
582	5154	5455
583	5168	5452
584	5182	5448
585	5196	5444
586	5206	5436
587	5219	5432
588	5232	5427
589	5244	5422
590	5259	5419
591	5272	5414
592	5283	5408
593	5297	5404
594	5308	5398
595	5323	5395
596	5336	5390
597	5350	5386
598	5361	5379
599	5371	5371
600	5383	5365
601	5390	5354
602	5398	5344
603	5406	5335
604	5413	5323
605	5421	5313
606	5428	5302
607	5434	5291
608	5442	5281
609	5448	5270
610	5456	5260
611	5464	5249
612	5470	5238
613	5477	5227
614	5486	5219
615	5493	5207
616	5505	5202
617	5513	5192
618	5520	5181
619	5528	5171
620	5535	5161
621	5542	5150
622	5550	5140
623	5557	5129
624	5564	5119
625	5572	5109
626	5579	5098
627	5586	5088
628	5593	5077
629	5600	5067
630	5607	5056
631	5614	5046
632	5621	5035
633	5628	5025
634	5635	5014
635	5642	5003
636	5649	4993
637	5656	4982
638	5664	4972
639	5671	4962
640	5678	4951
641	5685	4941
642	5692	4931
643	5699	4920
644	5706	4910
645	5713	4899
646	5720	4889
647	5727	4878
648	5734	4868
649	5741	4857
650	5747	4847
651	5754	4836
652	5761	4826
653	5768	4815
654	5775	4805
655	5782	4794
656	5789	4784
657	5795	4774
658	5802	4763
659	5810	4753
660	5816	4743
661	5823	4732
662	5830	4722
663	5837	4712
664	5844	4701
665	5851	4691
666	5858	4681
667	5865	4670
668	5871	4660
669	5878	4650
670	5889	4643
671	5897	4633
672	5904	4623
673	5911	4613
674	5918	4603
675	5925	4592
676	5932	4582
677	5938	4572
678	5945	4562
679	5952	4551
680	5960	4542
681	5967	4532
682	5977	4524
683	5984	4514
684	5990	4504
685	5997	4494
686	6004	4483
687	6011	4473
688	6018	4463
689	6025	4453
690	6032	4443
691	6039	4433
692	6046	4423
693	6052	4413
694	6059	4403
695	6066	4393
696	6073	4382
697	6080	4372
698	6087	4362
699	6093	4352
700	6100	4342
701	6107	4332
702	6114	4322
703	6121	4313
704	6128	4303
705	6135	4293
706	6142	4283
707	6149	4273
708	6157	4264
709	6164	4254
710	6172	4245
711	6181	4237
712	6190	4228
713	6203	4222
714	6213	4214
715	6222	4206
716	6230	4197
717	6239	4188
718	6248	4180
719	6257	4171
720	6267	4164
721	6275	4154
722	6282	4144
723	6289	4134
724	6295	4124
725	6302	4114
726	6309	4105
727	6316	4095
728	6323	4085
729	6330	4076
730	6337	4066
731	6345	4056
732	6351	4046
733	6358	4036
734	6365	4027
735	6372	4017
736	6379	4007
737	6386	3998
738	6393	3988
739	6400	3978
740	6407	3968
741	6414	3959
742	6421	3949
743	6428	3940
744	6437	3931
745	6443	3921
746	6450	3912
747	6458	3902
748	6464	3892
749	6471	3883
750	6479	3873
751	6486	3864
752	6493	3854
753	6499	3844
754	6506	3835
755	6513	3825
756	6520	3816
757	6527	3806
758	6534	3796
759	6541	3787
760	6548	3777
761	6555	3768
762	6562	3758
763	6569	3749
764	6576	3739
765	6583	3730
766	6590	3720
767	6597	3711
768	6604	3701
769	6611	3692
770	6618	3682
771	6625	3673
772	6632	3663
773	6639	3654
774	6647	3645
775	6653	3635
776	6661	3626
777	6668	3617
778	6675	3607
779	6682	3598
780	6689	3588
781	6696	3579
782	6703	3569
783	6710	3560
784	6717	3551
785	6724	3541
786	6731	3532
787	6739	3523
788	6746	3514
789	6753	3504
790	6762	3496
791	6770	3487
792	6781	3480
793	6792	3473
794	6800	3464
795	6807	3454
796	6815	3446
797	6823	3437
798	6833	3429
799	6841	3420
800	6849	3412
801	6857	3403
802	6870	3396
803	6881	3389
804	6890	3380
805	6898	3372
806	6909	3364
807	6918	3356
808	6928	3348
809	6938	3340
810	6947	3332
811	6957	3324
812	6969	3317
813	6978	3309
814	6985	3299
815	6993	3291
816	7004	3283
817	7013	3275
818	7021	3266
819	7029	3257
820	7037	3248
821	7045	3239
822	7053	3230
823	7064	3223
824	7076	3216
825	7086	3208
826	7093	3199
827	7101	3190
828	7109	3181
829	7117	3172
830	7126	3164
831	7133	3155
832	7141	3146
833	7150	3137
834	7159	3129
835	7166	3120
836	7174	3111
837	7184	3103
838	7191	3094
839	7233	3100
840	7242	3091
841	7251	3083
842	7257	3073
843	7265	3064
844	7272	3055
845	7279	3045
846	7285	3036
847	7292	3026
848	7298	3017
849	7306	3008
850	7312	2999
851	7320	2989
852	7326	2980
853	7332	2970
854	7339	2961
855	7348	2953
856	7357	2944
857	7367	2936
858	7377	2928
859	7387	2920
860	7396	2912
861	7403	2902
862	7409	2893
863	7416	2884
864	7423	2874
865	7430	2865
866	7437	2856
867	7443	2847
868	7450	2837
869	7456	2828
870	7464	2819
871	7476	2812
872	7484	2803
873	7492	2794
874	7499	2785
875	7506	2776
876	7512	2766
877	7519	2757
878	7541	2754
879	7554	2747
880	7569	2740
881	7579	2732
882	7589	2724
883	7597	2716
884	7604	2706
885	7611	2697
886	7619	2688
887	7625	2679
888	7632	2670
889	7639	2660
890	7645	2651
891	7652	2642
892	7659	2633
893	7665	2623
894	7672	2614
895	7679	2605
896	7685	2596
897	7692	2587
898	7699	2577
899	7707	2569
900	7713	2559
901	7721	2550
902	7728	2541
903	7737	2533
904	7746	2524
905	7754	2516
906	7763	2508
907	7772	2499
908	7781	2491
909	7789	2482
910	7798	2473
911	7806	2465
912	7814	2456
913	7821	2447
914	7827	2438
915	7834	2429
916	7840	2419
917	7847	2410
918	7858	2402
919	7866	2394
920	7872	2384
921	7879	2375
922	7887	2366
923	7893	2357
924	7900	2348
925	7906	2339
926	7913	2330
927	7920	2321
928	7927	2312
929	7934	2303
930	7941	2294
931	7947	2285
932	7957	2277
933	7970	2269
934	7980	2261
935	7988	2253
936	7994	2244
937	8001	2234
938	8008	2225
939	8014	2216
940	8021	2207
941	8028	2198
942	8034	2189
943	8041	2180
944	8047	2171
945	8054	2162
946	8061	2153
947	8072	2145
948	8079	2137
949	8087	2128
950	8094	2119
951	8101	2110
952	8108	2101
953	8115	2092
954	8122	2083
955	8129	2074
956	8136	2066
957	8143	2057
958	8153	2048
959	8160	2040
960	8167	2031
961	8173	2022
962	8180	2013
963	8187	2004
964	8193	1995
965	8659	2097
966	8666	2088
967	8673	2078
968	8681	2069
969	8688	2060
970	8694	2050
971	8701	2041
972	8709	2031
973	8719	2023
974	8727	2014
975	8735	2004
976	8745	1996
977	8752	1986
978	8760	1977
979	8766	1968
980	8773	1958
981	8779	1949
982	8785	1939
983	8791	1929
984	8797	1920
985	8803	1910
986	8810	1901
987	8816	1891
988	8848	1887
989	8854	1878
990	8863	1869
991	8869	1859
992	8875	1850
993	8881	1840
994	8887	1831
995	8893	1821
996	8899	1812
997	8905	1802
998	8911	1792
999	8916	1783
1000	8923	1773
1001	8930	1764
1002	8936	1755
1003	8942	1745
1004	8948	1736
1005	8954	1726
1006	8960	1717
1007	8966	1707
1008	8972	1698
1009	8978	1689
1010	8984	1679
1011	8990	1670
1012	8997	1660
1013	9003	1651
1014	9009	1642
1015	9015	1632
1016	9021	1623
1017	9344	1670
1018	9352	1661
1019	9359	1651
1020	9367	1642
1021	9374	1632
1022	9383	1623
1023	9390	1614
1024	9398	1604
1025	9406	1595
1026	9413	1585
1027	9420	1576
1028	9428	1566
1029	9436	1557
1030	9443	1548
1031	9451	1538
1032	9458	1529
1033	9466	1519
1034	9473	1510
1035	9481	1500
1036	9487	1491
1037	9493	1481
1038	9499	1471
1039	9505	1462
1040	9510	1452
1041	9516	1443
1042	9522	1433
1043	9528	1423
1044	9533	1414
1045	9540	1404
1046	9545	1394
1047	9551	1385
1048	9557	1375
1049	9563	1366
1050	9569	1356
1051	9575	1347
1052	9581	1337
1053	9586	1327
1054	9592	1318
1055	9598	1308
1056	9604	1299
1057	9610	1289
1058	9616	1280
1059	9622	1270
1060	9627	1261
1061	9633	1251
1062	9639	1242
1063	9645	1232
1064	9651	1223
1065	9657	1213
1066	9663	1204
1067	9669	1195
1068	9674	1185
1069	9680	1176
1070	9686	1166
1071	9692	1157
1072	9698	1147
1073	9703	1138
1074	9709	1129
1075	9715	1119
1076	9721	1110
1077	9851	1114
1078	9859	1105
1079	9868	1096
1080	9878	1087
1081	9887	1078
1082	9897	1069
1083	9908	1060
1084	9917	1051
1085	9957	1045
1086	9965	1035
1087	9973	1026
1088	9981	1017
1089	9988	1008
1090	9996	998
1091	10004	989
1092	10012	980
1093	10020	970
1094	10027	961
1095	10034	952
1096	10042	942
1097	10050	933
1098	10057	924
1099	10065	915
1100	10071	905
1101	10078	896
1102	10084	886
1103	10090	877
1104	10096	868
1105	10102	858
1106	10108	849
1107	10114	839
1108	10120	830
1109	10126	821
1110	10132	811
1111	10138	802
1112	10145	793
1113	10150	783
1114	10157	774
1115	10163	764
1116	10169	755
1117	10175	746
1118	10180	736
1119	10186	727
1120	10192	718
1121	10198	708
1122	10204	699
1123	10210	690
1124	10216	681
1125	10222	671
1126	10227	662
1127	10253	654
1128	10272	646
1129	10290	637
1130	10305	628
1131	10319	619
1132	10329	610
1133	10338	601
1134	10352	592
1135	10360	583
1136	10368	574
1137	10388	565
1138	10397	556
1139	10407	547
1140	10416	538
1141	10515	534
1142	10528	525
1143	10536	515
1144	10543	506
1145	10549	497
1146	10555	487
1147	10562	478
1148	10569	469
1149	10575	459
1150	10583	450
1151	10591	441
1152	10599	432
1153	10605	422
1154	10611	413
1155	10617	404
1156	10623	394
1157	10629	385
1158	10634	376
1159	10641	366
1160	10647	357
1161	10653	348
1162	10659	339
1163	10665	329
1164	10671	320
1165	10677	311
1166	10683	302
1167	10689	292
1168	10695	283
1169	10701	274
1170	10707	265
1171	10713	255
1172	10719	246
1173	10725	237
1174	10731	228
1175	10737	219
1176	10742	209
1177	10748	200
1178	10754	191
1179	10760	182
1180	10766	173
1181	10773	164
1182	10779	154
1183	10785	145
1184	10791	136
1185	10797	127
1186	10803	118
1187	10809	109
1188	10815	100
1189	10821	90
1190	10827	81
1191	10837	72
1192	10844	63
1193	10850	54
1194	10856	45
1195	10862	36
1196	10868	27
1197	10875	18
1198	10881	9
1199	10887	0
