iter	RMSE
0	1788.883454
1	1676.320865
2	1571.663173
3	1475.107469
4	1383.905475
5	1299.921555
6	1221.855491
7	1149.490251
8	1083.344392
9	1021.69662
10	963.4345079
11	910.6070605
12	863.1801311
13	817.4511664
14	774.6713722
15	736.1178104
16	699.5972514
17	665.9965645
18	634.5078653
19	605.7627952
20	580.0728379
21	555.9684592
22	534.0809032
23	514.0024706
24	495.3386077
25	477.8281224
26	461.0851173
27	446.530853
28	432.7857241
29	420.4400441
30	409.0815742
31	398.3901088
32	388.9728152
33	379.9242053
34	371.4315821
35	363.2368233
36	356.0720239
37	348.79809
38	342.7303785
39	337.2490703
40	331.5747759
41	326.9689514
42	322.2842631
43	317.9094756
44	313.7699223
45	310.3639801
46	307.2951844
47	304.0597449
48	301.2697126
49	298.618482
50	296.0555523
51	293.4684151
52	291.4400022
53	289.3031907
54	287.1315087
55	285.1003744
56	283.6056724
57	281.7698695
58	280.4131331
59	278.956671
60	277.8259161
61	276.8629889
62	275.6944394
63	274.5044108
64	273.6313796
65	272.6642023
66	271.5125279
67	270.7723766
68	270.0069516
69	269.1395046
70	268.4900808
71	267.7388757
72	267.046466
73	266.1878982
74	265.4817077
75	264.8425176
76	264.2354898
77	263.5847182
78	263.0199697
79	262.4263153
80	261.7694486
81	261.3675905
82	260.9280755
83	260.6635577
84	260.2883109
85	259.7052564
86	259.4325117
87	259.0347187
88	258.646161
89	258.3949122
90	258.199581
91	257.7812073
92	257.5348831
93	257.1924283
94	256.9813995
95	256.5939007
96	256.3213815
97	256.0650306
98	255.6772289
99	255.409316
100	255.1148851
101	254.9394783
102	254.8013417
103	254.3575399
104	254.2213684
105	254.0854309
106	253.7577205
107	253.5814614
108	253.2767503
109	253.028015
110	252.8749687
111	252.5860609
112	252.3708508
113	252.2344604
114	252.1378647
115	252.0166104
116	251.8727893
117	251.709873
118	251.4787445
119	251.251082
120	250.9070916
121	250.6893737
122	250.5292648
123	250.3317108
124	250.1249002
125	250.019488
126	249.7016604
127	249.4812876
128	249.3925289
129	249.2642881
130	248.9820738
131	248.8504419
132	248.599605
133	248.4370043
134	248.3168073
135	248.1787922
136	247.9448419
137	247.8616323
138	247.7196692
139	247.5387122
140	247.2360773
141	247.0580636
142	246.8952597
143	246.7937953
144	246.6661484
145	246.4617805
146	246.1703016
147	246.101196
148	245.9561748
149	245.8149254
150	245.5730661
151	245.47125
152	245.206335
153	244.9811568
154	244.7994265
155	244.6357839
156	244.4557275
157	244.3001185
158	244.1303936
159	244.0429047
160	243.8607663
161	243.7887669
162	243.6986889
163	243.5112825
164	243.4312746
165	243.2907086
166	243.1649165
167	243.0205967
168	242.9233779
169	242.7900729
170	242.7069209
171	242.5337441
172	242.4619246
173	242.247744
174	242.1740664
175	242.0931392
176	241.9906421
177	241.8548021
178	241.7326305
179	241.6513586
180	241.5947793
181	241.4081026
182	241.2707527
183	241.1491737
184	241.0271946
185	240.8841303
186	240.7246267
187	240.5744179
188	240.4222323
189	240.2347296
190	240.1207026
191	240.0248455
192	239.8898086
193	239.8275157
194	239.7129422
195	239.6102016
196	239.5247453
197	239.3782809
198	239.3183364
199	239.1782965
200	239.0673931
201	238.9680527
202	238.9287186
203	238.8366301
204	238.7753049
205	238.644315
206	238.546309
207	238.3860036
208	238.2471415
209	238.0915256
210	237.9973827
211	237.9547037
212	237.8937283
213	237.8130059
214	237.6950842
215	237.5759876
216	237.4520269
217	237.3738432
218	237.2756392
219	237.2037858
220	237.0839108
221	236.9537651
222	236.7891677
223	236.627832
224	236.5703863
225	236.4675938
226	236.3545846
227	236.2357109
228	236.2028564
229	236.159887
230	236.0651748
231	235.9379089
232	235.8928374
233	235.8210486
234	235.7915369
235	235.6624861
236	235.5608683
237	235.4407097
238	235.4021133
239	235.2716313
240	235.2434403
241	235.1052673
242	235.0386952
243	235.0221394
244	234.9284641
245	234.7952842
246	234.7391565
247	234.7178599
248	234.6092442
249	234.6053347
250	234.467434
251	234.4645096
252	234.352453
253	234.2934858
254	234.2129097
255	234.1593
256	234.0599664
257	233.981866
258	233.8626975
259	233.7917295
260	233.7586077
261	233.6732818
262	233.5482511
263	233.463717
264	233.4207627
265	233.3435497
266	233.3354083
267	233.2334982
268	233.1406765
269	233.1344382
270	233.1309469
271	233.046837
272	233.0414487
273	232.9512664
274	232.9491108
275	232.8711738
276	232.8520567
277	232.8447032
278	232.8311598
279	232.7530292
280	232.6799447
281	232.6070071
282	232.5786773
283	232.5092066
284	232.5017773
285	232.4118884
286	232.3471182
287	232.3311377
288	232.2239685
289	232.1876341
290	232.0897904
291	232.0577934
292	231.9894645
293	231.9126664
294	231.8070439
295	231.7656491
296	231.6933303
297	231.6329225
298	231.5788586
299	231.5355589
300	231.5313362
301	231.4768748
302	231.3971344
303	231.3636061
304	231.3343757
305	231.2446439
306	231.1642831
307	231.1583198
308	231.0529485
309	230.9345404
310	230.8802648
311	230.7584738
312	230.6899317
313	230.6116424
314	230.5669122
315	230.4666415
316	230.4196535
317	230.3500723
318	230.2640414
319	230.1431294
320	230.0481837
321	229.9894953
322	229.9278821
323	229.8704843
324	229.8062965
325	229.7090669
326	229.6242509
327	229.544594
328	229.5107925
329	229.4723058
330	229.4141594
331	229.3510359
332	229.2566616
333	229.223681
334	229.1183531
335	229.0233392
336	228.9713771
337	228.9314942
338	228.8707587
339	228.8245992
340	228.756831
341	228.6966332
342	228.6161033
343	228.5609411
344	228.4742408
345	228.4059984
346	228.359929
347	228.3071025
348	228.2793135
349	228.2324244
350	228.1819803
351	228.098359
352	228.0406323
353	227.9839953
354	227.9138205
355	227.8237142
356	227.7657735
357	227.6584075
358	227.5322563
359	227.4868516
360	227.4363498
361	227.3713024
362	227.3395978
363	227.3040974
364	227.2501314
365	227.1624497
366	227.1408971
367	227.0916226
368	227.0675459
369	227.0391124
370	226.9959887
371	226.9462626
372	226.891635
373	226.8898986
374	226.81395
375	226.726669
376	226.6767982
377	226.6627398
378	226.654599
379	226.653296
380	226.5732636
381	226.4946269
382	226.4388515
383	226.3907436
384	226.2765741
385	226.232989
386	226.1929646
387	226.123028
388	226.0797543
389	225.9903307
390	225.8852459
391	225.7890346
392	225.7124672
393	225.6715215
394	225.6286708
395	225.5260665
396	225.4847864
397	225.4549516
398	225.4121933
399	225.3807166
400	225.3539476
401	225.2329108
402	225.2256793
403	225.1874224
404	225.1077479
405	225.0863281
406	225.0130687
407	224.9963388
408	224.9545378
409	224.8900386
410	224.8599369
411	224.8309447
412	224.7851732
413	224.6939394
414	224.630228
415	224.5222156
416	224.4920308
417	224.40938
418	224.3405914
419	224.3063934
420	224.2783465
421	224.2406833
422	224.1968746
423	224.1525156
424	224.1214785
425	224.0818589
426	224.0433846
427	223.9618046
428	223.9202795
429	223.8171037
430	223.8025993
431	223.7222363
432	223.672691
433	223.6152
434	223.5181054
435	223.4933232
436	223.4665147
437	223.4312605
438	223.3704449
439	223.316924
440	223.251317
441	223.2349558
442	223.1625122
443	223.1524623
444	223.0966804
445	223.0696936
446	223.0149257
447	223.0018659
448	222.9521296
449	222.9262218
450	222.9029069
451	222.8978058
452	222.8744726
453	222.8174299
454	222.7528449
455	222.7055854
456	222.6987374
457	222.6343354
458	222.5691434
459	222.5178921
460	222.4802685
461	222.4101785
462	222.3477332
463	222.2746845
464	222.2231498
465	222.1725192
466	222.116793
467	222.0269521
468	221.983252
469	221.9695427
470	221.9055136
471	221.8581862
472	221.8390522
473	221.8083281
474	221.7745039
475	221.7406671
476	221.7219312
477	221.6779146
478	221.6582761
479	221.6094448
480	221.5569896
481	221.5329101
482	221.4988909
483	221.4341491
484	221.3978593
485	221.3504386
486	221.3012815
487	221.2458927
488	221.2002685
489	221.1701884
490	221.1102936
491	221.0452311
492	220.9912574
493	220.9600507
494	220.8867211
495	220.8339586
496	220.7896432
497	220.770601
498	220.6895583
499	220.6561486
500	220.5719461
501	220.5371091
502	220.4998848
503	220.4315819
504	220.3980524
505	220.3690845
506	220.3184278
507	220.2920082
508	220.1998572
509	220.1981548
510	220.1734441
511	220.0980495
512	220.0543097
513	220.0061212
514	219.9317176
515	219.8895608
516	219.868673
517	219.7970362
518	219.7446749
519	219.6796811
520	219.6556145
